X,Y,Z,Magnitud,Heading
-14.91,20.55,-34.49,42.82,125.97
-15.09,20.64,-32.96,41.71,126.18
-16.82,15.27,-37.76,44.06,137.76
-20.09,7.64,-39.59,45.05,159.19
-21,6.09,-39.9,45.5,163.83
-21.27,2.27,-41.43,46.63,173.9
-21.64,0,-41.12,46.47,180
-22.27,-4.73,-41.02,46.92,191.98
-21.09,-10.82,-41.53,47.82,207.15
-19.09,-18.55,-41.53,49.33,224.17
-13.73,-22.91,-43.98,51.45,239.07
-13.45,-22.64,-44.39,51.61,239.27
-11.82,-24.09,-45,52.39,243.87
-11.09,-21.64,-47.65,53.5,242.86
-2.27,-26.91,-48.67,55.66,265.17
1.36,-28.45,-48.47,56.22,272.74
8.82,-28.09,-49.29,57.41,287.43
2.82,-29.55,-47.35,55.88,275.45
6.55,-29.09,-48.57,56.99,282.68
14.82,-27.18,-49.18,58.12,298.6
22.36,-22.09,-49.49,58.63,315.35
26.64,-19.27,-47.65,57.89,324.11
29.09,-16.27,-46.43,57.16,330.78
31.45,-9.82,-45.61,56.27,342.66
31.64,-4,-46.22,56.16,352.79
31,-9.09,-46.43,56.56,343.66
26.18,-19.82,-47.65,57.87,322.88
13,-30.27,-46.43,56.93,293.24
-1.45,-27.64,-48.27,55.64,266.99
-14.09,-16.73,-47.55,52.34,229.89
-20.82,-6.27,-42.86,48.06,196.77
-21.45,0.73,-40.92,46.21,178.06
-18.27,13,-38.78,44.79,144.57
-13.91,16.18,-40.31,45.61,130.68
-13.09,17.36,-40.1,45.62,127.01
-6.91,20.55,-41.12,46.49,108.59
5.64,24.18,-40.41,47.43,76.88
13.73,24.36,-39.39,48.31,60.6
22.18,19.27,-40.71,50.21,40.99
31.91,6,-41.84,52.96,10.65
31.55,6,-42.96,53.63,10.77
32.91,6.36,-40.92,52.89,10.94
33,0.91,-43.27,54.42,1.58
32.36,2.82,-42.86,53.78,4.98
30.64,8.82,-41.94,52.68,16.06
29.45,9.64,-42.45,52.56,18.12
30.64,8.55,-41.94,52.64,15.59
35.36,0.64,-39.59,53.09,1.03
36.91,-6,-37.65,53.07,350.77
35.45,-13,-38.57,53.98,339.86
27.73,-26.45,-39.39,54.95,316.35
20.36,-31.64,-39.49,54.54,302.77
20.18,-31.45,-39.9,54.67,302.68
16.18,-33.09,-40.31,54.6,296.06
6.64,-34.18,-41.43,54.12,280.99
6.55,-34.73,-40.2,53.53,280.67
1.73,-34.27,-39.08,52.01,272.89
-10.36,-29,-38.67,49.44,250.33
-18.27,-21.27,-38.16,47.36,229.34
-16.36,-23.09,-38.78,48.01,234.68
-3.91,-32.09,-40,51.43,263.05
13.55,-33.73,-39.8,53.9,291.88
20.36,-30.73,-40.82,55,303.53
31.82,-18.64,-41.22,55.31,329.64
35.64,-7.18,-39.39,53.6,348.61
36.18,6.18,-34.69,50.51,9.7
29.27,17.36,-34.8,48.67,30.68
26.64,20.73,-33.67,47.68,37.89
19.91,25.36,-32.76,45.96,51.87
8.36,29.55,-30.2,43.07,74.19
-6,24.55,-35.61,43.67,103.74
-14.18,19.45,-36.02,43.33,126.09
-22.36,6,-37.55,44.12,164.98
-23.18,-2.27,-38.37,44.88,185.6
-20.55,-10.82,-42.14,48.12,207.77
-19.27,-13.91,-42.45,48.65,215.82
-22.18,-3.55,-40.41,46.23,189.08
-22,4,-38.27,44.32,169.7
-19.18,11,-38.67,44.55,150.17
-8.91,21.18,-38.88,45.16,112.81
9.36,26.36,-37.04,46.42,70.45
24.18,23,-33.06,46.98,43.57
32.82,9.64,-38.37,51.4,16.36
33.91,6.73,-39.18,52.25,11.22
35.27,0.09,-39.9,53.25,0.15
33.91,-15.45,-41.02,55.42,335.5
23.73,-27.64,-42.65,56.09,310.65
24.27,-26.36,-43.98,56.73,312.64
17.45,-29.73,-44.9,56.61,300.42
8.36,-32.27,-44.18,55.35,284.53
1.09,-32.45,-43.16,54.01,271.93
-9.18,-27.09,-43.98,52.46,251.28
-13.55,-18.82,-46.53,51.99,234.25
-14.55,-19.64,-45.41,51.57,233.47
-9.09,-25.91,-44.69,52.45,250.67
9.36,-31.27,-45.2,55.76,286.67
22.82,-28.09,-42.65,55.94,309.09
34.73,-15.27,-39.59,54.83,336.26
37.36,2,-35.61,51.66,3.06
32.55,14.18,-34.59,49.57,23.55
21.36,23.27,-36.12,47.99,47.45
17.36,24.27,-37.24,47.73,54.42
32.18,11.27,-38.37,51.33,19.3
21.27,22.18,-38.06,48.92,46.2
11.64,25.91,-37.55,47.08,65.81
-2.64,26.64,-34.59,43.74,95.65
-12.45,19.82,-37.45,44.16,122.15
-17.18,13.55,-39.59,45.24,141.75
-18.73,11.73,-38.88,44.72,147.94
-18.64,11.64,-38.47,44.3,148.02
-18.45,12.36,-38.06,44.07,146.18
-18.64,12.09,-38.47,44.42,147.03
-18.36,12,-38.47,44.28,146.84
-18.36,12,-38.47,44.28,146.84
-18.55,12,-38.78,44.63,147.09
-18.45,11.91,-38.16,44.03,147.17
-18.45,11.45,-38.57,44.27,148.17
-18,11.45,-38.67,44.17,147.53
